make_model,body_type,price,km,hp,Gearing Type,Displacement_cc,Fuel,Age
Audi A1,Sedans,15770,56013,88.50745794000001,Automatic,1422.0,Diesel,3.0
Audi A1,Sedans,14500,80000,189.08411469,Automatic,1798.0,Benzine,2.0
Audi A1,Sedans,14640,83450,113.98687765,Automatic,1598.0,Diesel,3.0
Audi A1,Sedans,14500,73000,88.50745794000001,Automatic,1422.0,Diesel,3.0
Audi A1,Sedans,16790,16200,88.50745794000001,Automatic,1422.0,Diesel,3.0
Audi A1,Sedans,15090,63668,113.98687765,Automatic,1598.0,Diesel,3.0
Audi A1,Station wagon,16422,62111,113.98687765,Automatic,1598.0,Diesel,3.0
Audi A1,Compact,14480,14986,88.50745794000001,Automatic,1422.0,Diesel,3.0
Audi A1,Sedans,16700,57000,113.98687765,Automatic,1598.0,Diesel,3.0
Audi A1,Sedans,17990,16103,93.8715463,Automatic,999.0,Benzine,2.0
Audi A1,Sedans,18500,11300,113.98687765,Automatic,1598.0,Diesel,1.0
Audi A1,Sedans,17990,26415,123.37403228,Automatic,1395.0,Benzine,3.0
Audi A1,Sedans,18380,31600,123.37403228,Automatic,1395.0,Benzine,3.0
Audi A1,Sedans,18399,45764,150.19447408000002,Automatic,1395.0,Benzine,3.0
Audi A1,Sedans,17990,34914,93.8715463,Automatic,999.0,Benzine,3.0
Audi A1,Sedans,18700,27000,113.98687765,Automatic,1598.0,Diesel,3.0
Audi A1,Sedans,18900,9752,113.98687765,Automatic,1598.0,Diesel,1.0
Audi A1,Sedans,18500,28408,88.50745794000001,Automatic,1422.0,Diesel,2.0
Audi A1,Compact,18400,50280,93.8715463,Automatic,999.0,Benzine,3.0
Audi A1,Sedans,18500,13406,113.98687765,Automatic,1598.0,Diesel,1.0
Audi A1,Sedans,18500,51160,113.98687765,Automatic,1598.0,Diesel,2.0
Audi A1,Sedans,18500,15850,123.37403228,Automatic,1395.0,Benzine,3.0
Audi A1,Sedans,18900,17000,123.37403228,Automatic,1395.0,Benzine,3.0
Audi A1,Sedans,18850,9077,113.98687765,Automatic,1598.0,Diesel,1.0
Audi A1,Sedans,18500,3000,93.8715463,Automatic,999.0,Benzine,1.0
